,Index,ID,Name,cluster
156,156,1840,Zero no Tsukaima Futatsuki no Kishi,2
157,157,2034,Lovely Complex,1
158,158,6707,Kuroshitsuji II,0
159,159,14289,Sukitte Ii na yo ,1
160,160,8425,Gosick,0
161,161,18277,Strike the Blood,2
162,162,6213,Toaru Kagaku no Railgun,2
163,163,5530,Pandora Hearts,2
164,164,527,Pokemon,2
165,165,23281,Psycho Pass 2,0
166,166,30240,Prison School,1
167,167,5958,Sora no Otoshimono,1
168,168,21995,Ao Haru Ride,1
169,169,225,Dragon Ball GT,2
170,170,33,Berserk,0
171,171,12355,Ookami Kodomo no Ame to Yuki,1
172,172,22789,Barakamon,1
173,173,16067,Nagi no Asukara,1
174,174,5681,Summer Wars,1
175,175,43,Ghost in the Shell,0
176,176,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku,1
177,177,11499,Sankarea,1
178,178,6573,Darker than Black Ryuusei no Gemini,0
179,179,24439,Kekkai Sensen,0
180,180,45,Rurouni Kenshin Meiji Kenkaku Romantan,2
181,181,28497,Rokka no Yuusha,2
182,182,15315,Mondaiji tachi ga Isekai kara Kuru Sou Desu yo ,1
183,183,1889,Higurashi no Naku Koro ni Kai,0
184,184,9513,Beelzebub,2
185,185,8675,Seitokai Yakuindomo,1
186,186,22147,Amagi Brilliant Park,1
187,187,25013,Akatsuki no Yona,2
188,188,11013,Inu x Boku SS,1
189,189,47,Akira,0
190,190,339,Serial Experiments Lain,0
191,191,23321,Log Horizon 2nd Season,2
192,192,32,Neon Genesis Evangelion The End of Evangelion,0
193,193,7593,Kiss x Sis TV ,1
194,194,14967,Boku wa Tomodachi ga Sukunai Next,1
195,195,27775,Plastic Memories,1
196,196,31859,Hai to Gensou no Grimgar,2
197,197,3712,Zero no Tsukaima Princesses no Rondo,2
198,198,25183,Gangsta ,0
199,199,4081,Natsume Yuujinchou,1
200,200,5341,Ookami to Koushinryou II,2
201,201,18671,Chuunibyou demo Koi ga Shitai Ren,1
202,202,25157,Trinity Seven,2
203,203,150,Blood ,0
204,204,6594,Katanagatari,0
205,205,28701,Fate stay night Unlimited Blade Works 2nd Season,0
206,206,17074,Monogatari Series Second Season,0
207,207,1691,Kaze no Stigma,2
208,208,4214,Rosario to Vampire Capu2,1
209,209,7088,Ichiban Ushiro no Daimaou,2
210,210,1519,Black Lagoon The Second Barrage,0
211,211,30015,ReLIFE,1
212,212,15225,Hentai Ouji to Warawanai Neko ,1
213,213,28297,Ore Monogatari ,1
214,214,32281,Kimi no Na wa ,1
215,215,11285,Black Rock Shooter TV ,1
216,216,21603,Mekakucity Actors,1
217,217,4752,Vampire Knight Guilty,1
218,218,31798,Kiznaiver,1
219,219,10408,Hotarubi no Mori e,1
220,220,877,Nana,1
221,221,392,Yuu Yuu Hakusho,2
222,222,10162,Usagi Drop,1
223,223,13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai ,1
224,224,857,Air Gear,2
225,225,2759,Evangelion 1 0 You Are Not Alone,2
226,226,467,Ghost in the Shell Stand Alone Complex,0
227,227,10080,Kami nomi zo Shiru Sekai II,1
228,228,29786,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,1
229,229,32182,Mob Psycho 100,2
230,230,28677,Yamada kun to 7 nin no Majo TV ,1
231,231,7817,B Gata H Kei,1
232,232,27631,God Eater,0
233,233,11577,Steins Gate Movie Fuka Ryouiki no D j vu,1
234,234,10110,Mayo Chiki ,1
235,235,24703,High School DxD BorN,2
236,236,14719,JoJo no Kimyou na Bouken TV ,0
237,237,28927,Owari no Seraph Nagoya Kessen hen,0
238,238,16782,Kotonoha no Niwa,1
239,239,14713,Kamisama Hajimemashita,1
240,240,23199,Durarara x2 Shou,0
241,241,6956,Working ,1
242,242,101,Air,1
243,243,30296,Rakudai Kishi no Cavalry,0
244,244,31478,Bungou Stray Dogs,0
245,245,430,Fullmetal Alchemist The Conqueror of Shamballa,2
246,246,19163,Date A Live II,1
247,247,32282,Shokugeki no Souma Ni no Sara,1
248,248,24415,Kuroko no Basket 3rd Season,1
249,249,2787,Shakugan no Shana II Second ,2
250,250,8937,Toaru Majutsu no Index II,0
251,251,8516,Baka to Test to Shoukanjuu Ni ,1
252,252,4063,Sekirei,2
253,253,3784,Evangelion 2 0 You Can Not Advance,2
254,254,552,Digimon Adventure,2
255,255,30307,Monster Musume no Iru Nichijou,1
256,256,232,Cardcaptor Sakura,2
257,257,27787,Nisekoi ,1
258,258,10790,Kore wa Zombie Desu ka of the Dead,0
259,259,19221,Ore no Nounai Sentakushi ga Gakuen Love Comedy wo Zenryoku de Jama Shiteiru,1
260,260,28891,Haikyuu Second Season,1
261,261,2593,Kara no Kyoukai 1 Fukan Fuukei,0
262,262,24,School Rumble,1
263,263,17729,Grisaia no Kajitsu,1
264,264,30654,Ansatsu Kyoushitsu TV 2nd Season,2
265,265,578,Hotaru no Haka,1
266,266,2605,Sayonara Zetsubou Sensei,1
267,267,4975,Ch oS HEAd,0
268,268,11319,Zero no Tsukaima F,2
